Timestamp,RSSI,Activity
16230,-37,Jumping
16230,-38,Jumping
16238,-24,Jumping
16250,-37,Jumping
16250,-38,Jumping
16258,-24,Jumping
16270,-39,Jumping
16270,-38,Jumping
16278,-24,Jumping
16290,-39,Jumping
16290,-38,Jumping
16298,-24,Jumping
16310,-39,Jumping
16310,-38,Jumping
16318,-24,Jumping
16330,-39,Jumping
16330,-38,Jumping
16338,-22,Jumping
16350,-39,Jumping
16350,-37,Jumping
16358,-22,Jumping
16370,-40,Jumping
16370,-37,Jumping
16378,-22,Jumping
16390,-40,Jumping
16390,-37,Jumping
16398,-22,Jumping
16410,-40,Jumping
16410,-37,Jumping
16418,-22,Jumping
16430,-40,Jumping
16430,-37,Jumping
16438,-31,Jumping
16450,-40,Jumping
16450,-37,Jumping
16458,-31,Jumping
16470,-39,Jumping
16470,-43,Jumping
16478,-31,Jumping
16490,-39,Jumping
16490,-43,Jumping
16498,-31,Jumping
16510,-39,Jumping
16510,-43,Jumping
16518,-31,Jumping
16530,-39,Jumping
16530,-43,Jumping
16538,-24,Jumping
16550,-39,Jumping
16550,-43,Jumping
16558,-24,Jumping
16570,-36,Jumping
16578,-24,Jumping
16590,-36,Jumping
16598,-24,Jumping
16610,-36,Jumping
16618,-24,Jumping
16630,-36,Jumping
16638,-23,Jumping
16650,-36,Jumping
16658,-23,Jumping
16670,-36,Jumping
16678,-23,Jumping
16690,-36,Jumping
16698,-23,Jumping
16710,-36,Jumping
16718,-23,Jumping
16730,-36,Jumping
16738,-23,Jumping
16750,-36,Jumping
16758,-34,Jumping
16770,-38,Jumping
16770,-37,Jumping
16778,-34,Jumping
16790,-38,Jumping
16790,-37,Jumping
16798,-34,Jumping
16810,-38,Jumping
16810,-37,Jumping
16818,-34,Jumping
16830,-38,Jumping
16830,-37,Jumping
16838,-34,Jumping
16850,-38,Jumping
16850,-37,Jumping
16858,-24,Jumping
16870,-37,Jumping
16870,-38,Jumping
16878,-24,Jumping
16890,-37,Jumping
16890,-38,Jumping
16898,-24,Jumping
16910,-37,Jumping
16910,-38,Jumping
16918,-24,Jumping
16930,-37,Jumping
16930,-38,Jumping
16938,-24,Jumping
16950,-37,Jumping
16950,-38,Jumping
16958,-30,Jumping
16970,-35,Jumping
16970,-40,Jumping
16978,-30,Jumping
16990,-35,Jumping
16990,-40,Jumping
16998,-30,Jumping
17010,-35,Jumping
17010,-40,Jumping
17018,-30,Jumping
17030,-35,Jumping
17030,-40,Jumping
17038,-30,Jumping
17050,-35,Jumping
17050,-40,Jumping
17058,-26,Jumping
17070,-37,Jumping
17070,-38,Jumping
17078,-26,Jumping
17090,-37,Jumping
17090,-38,Jumping
17098,-26,Jumping
17110,-37,Jumping
17110,-38,Jumping
17118,-26,Jumping
17130,-37,Jumping
17130,-38,Jumping
17138,-26,Jumping
17150,-37,Jumping
17150,-38,Jumping
17158,-31,Jumping
17170,-37,Jumping
17170,-36,Jumping
17178,-31,Jumping
17190,-38,Jumping
17190,-36,Jumping
17198,-31,Jumping
17210,-38,Jumping
17210,-36,Jumping
17218,-31,Jumping
17230,-38,Jumping
17230,-36,Jumping
17238,-31,Jumping
17250,-38,Jumping
17250,-36,Jumping
17258,-32,Jumping
17270,-38,Jumping
17270,-36,Jumping
17278,-32,Jumping
17290,-38,Jumping
17290,-36,Jumping
17298,-32,Jumping
17310,-38,Jumping
17310,-36,Jumping
17318,-32,Jumping
17330,-38,Jumping
17330,-36,Jumping
17338,-32,Jumping
17350,-38,Jumping
17350,-36,Jumping
17358,-26,Jumping
17370,-38,Jumping
17370,-36,Jumping
17378,-26,Jumping
17390,-36,Jumping
17390,-37,Jumping
17398,-26,Jumping
17410,-36,Jumping
17410,-37,Jumping
17418,-26,Jumping
17430,-36,Jumping
17430,-37,Jumping
17438,-26,Jumping
17450,-36,Jumping
17450,-37,Jumping
17458,-30,Jumping
17470,-36,Jumping
17470,-37,Jumping
17478,-30,Jumping
17490,-36,Jumping
17490,-37,Jumping
17498,-30,Jumping
17510,-36,Jumping
17510,-37,Jumping
17518,-30,Jumping
17530,-36,Jumping
17530,-37,Jumping
17538,-30,Jumping
17550,-36,Jumping
17550,-37,Jumping
17558,-30,Jumping
17570,-36,Jumping
17570,-37,Jumping
17578,-25,Jumping
17590,-38,Jumping
17590,-40,Jumping
17598,-25,Jumping
17610,-38,Jumping
17610,-40,Jumping
17618,-25,Jumping
17630,-38,Jumping
17630,-40,Jumping
17638,-25,Jumping
17650,-38,Jumping
17650,-40,Jumping
